,DataSize,ErrorWidthPercentage,NoiseLevelPercentage,ErrorScaling,AUC
66,50.0,0.1,0.05,1.0,0.8937672176308541
67,50.0,0.1,0.05,1.5,0.9580750688705234
68,50.0,0.1,0.05,2.0,0.9814049586776861
69,50.0,0.1,0.05,3.0,0.9913911845730027
70,50.0,0.1,0.1,0.5,0.6143250688705234
71,50.0,0.1,0.1,1.0,0.8180957300275482
72,50.0,0.1,0.1,1.5,0.9288050964187329
73,50.0,0.1,0.1,2.0,0.971763085399449
74,50.0,0.1,0.1,3.0,0.984418044077135
75,50.0,0.125,0.01,0.5,0.8889462809917354
76,50.0,0.125,0.01,1.0,0.9537706611570248
77,50.0,0.125,0.01,1.5,0.9883780991735537
78,50.0,0.125,0.01,2.0,0.996814738292011
79,50.0,0.125,0.01,3.0,0.99991391184573
80,50.0,0.125,0.02,0.5,0.8424586776859505
81,50.0,0.125,0.02,1.0,0.9569559228650137
82,50.0,0.125,0.02,1.5,0.9943181818181818
83,50.0,0.125,0.02,2.0,0.9975895316804407
84,50.0,0.125,0.02,3.0,0.9996556473829201
85,50.0,0.125,0.03,0.5,0.7941632231404958
86,50.0,0.125,0.03,1.0,0.9508436639118458
87,50.0,0.125,0.03,1.5,0.9884641873278237
88,50.0,0.125,0.03,2.0,0.9926825068870523
89,50.0,0.125,0.03,3.0,1.0
90,50.0,0.125,0.05,0.5,0.7116046831955923
91,50.0,0.125,0.05,1.0,0.9073691460055098
92,50.0,0.125,0.05,1.5,0.9732265840220387
93,50.0,0.125,0.05,2.0,0.9976756198347108
94,50.0,0.125,0.05,3.0,0.9998278236914601
95,50.0,0.125,0.1,0.5,0.637568870523416
96,50.0,0.125,0.1,1.0,0.8116391184573002
97,50.0,0.125,0.1,1.5,0.9177858126721763
98,50.0,0.125,0.1,2.0,0.9828684573002755
99,50.0,0.125,0.1,3.0,0.9962982093663912
100,50.0,0.15,0.01,0.5,0.8698347107438017
101,50.0,0.15,0.01,1.0,0.9554924242424243
102,50.0,0.15,0.01,1.5,0.9851928374655647
103,50.0,0.15,0.01,2.0,0.9876893939393939
104,50.0,0.15,0.01,3.0,0.9944042699724518
105,50.0,0.15,0.02,0.5,0.8210227272727271
106,50.0,0.15,0.02,1.0,0.9514462809917356
107,50.0,0.15,0.02,1.5,0.9831267217630854
108,50.0,0.15,0.02,2.0,0.9892389807162534
109,50.0,0.15,0.02,3.0,0.9945764462809917
110,50.0,0.15,0.03,0.5,0.7802169421487603
111,50.0,0.15,0.03,1.0,0.9535984848484849
112,50.0,0.15,0.03,1.5,0.9826962809917356
113,50.0,0.15,0.03,2.0,0.9865702479338844
114,50.0,0.15,0.03,3.0,0.9951790633608815
115,50.0,0.15,0.05,0.5,0.6980888429752067
116,50.0,0.15,0.05,1.0,0.9085743801652892
117,50.0,0.15,0.05,1.5,0.9733987603305786
118,50.0,0.15,0.05,2.0,0.9870006887052342
119,50.0,0.15,0.05,3.0,0.9936294765840221
120,50.0,0.15,0.1,0.5,0.6143250688705235
121,50.0,0.15,0.1,1.0,0.7980371900826446
122,50.0,0.15,0.1,1.5,0.9244146005509641
123,50.0,0.15,0.1,2.0,0.9457644628099173
124,50.0,0.15,0.1,3.0,0.9708161157024794
125,100.0,0.05,0.01,0.5,0.8336938885884262
126,100.0,0.05,0.01,1.0,0.9380746349378042
127,100.0,0.05,0.01,1.5,0.9490715702181359
128,100.0,0.05,0.01,2.0,0.9799891833423472
129,100.0,0.05,0.01,3.0,0.9858482062376059
130,100.0,0.05,0.02,0.5,0.7834865693167476
131,100.0,0.05,0.02,1.0,0.906345772489634
132,100.0,0.05,0.02,1.5,0.9530376780241572
133,100.0,0.05,0.02,2.0,0.970885163151253
134,100.0,0.05,0.02,3.0,0.9855777897962863
135,100.0,0.05,0.03,0.5,0.7780782404903551
136,100.0,0.05,0.03,1.0,0.9014782765458806
137,100.0,0.05,0.03,1.5,0.9396069947719488
138,100.0,0.05,0.03,2.0,0.9714259960338921
139,100.0,0.05,0.03,3.0,0.9896340364160807
140,100.0,0.05,0.05,0.5,0.6684694429421308
141,100.0,0.05,0.05,1.0,0.8372994411393546
142,100.0,0.05,0.05,1.5,0.9181539570939247
143,100.0,0.05,0.05,2.0,0.9494321254732287
144,100.0,0.05,0.05,3.0,0.9812367864693445
145,100.0,0.05,0.1,0.5,0.5711949035812672
146,100.0,0.05,0.1,1.0,0.6926652892561982
147,100.0,0.05,0.1,1.5,0.7949380165289256
148,100.0,0.05,0.1,2.0,0.8987603305785123
149,100.0,0.05,0.1,3.0,0.9238980716253443
150,100.0,0.075,0.01,0.5,0.8469442942130881
151,100.0,0.075,0.01,1.0,0.9305931133946278
152,100.0,0.075,0.01,1.5,0.9706147467099333
153,100.0,0.075,0.01,2.0,0.9801694609698937
154,100.0,0.075,0.01,3.0,0.9852172345411934
155,100.0,0.075,0.02,0.5,0.7962862808725437
156,100.0,0.075,0.02,1.0,0.9114836848747071
157,100.0,0.075,0.02,1.5,0.9569136470164054
158,100.0,0.075,0.02,2.0,0.9740400216333153
159,100.0,0.075,0.02,3.0,0.9830539030106363
160,100.0,0.075,0.03,0.5,0.7369749414097712
161,100.0,0.075,0.03,1.0,0.9026500811249325
162,100.0,0.075,0.03,1.5,0.9457364341085271
163,100.0,0.075,0.03,2.0,0.9672796106003245
164,100.0,0.075,0.03,3.0,0.9842257075896881
165,100.0,0.075,0.05,0.5,0.6809987380566072
166,100.0,0.075,0.05,1.0,0.8449612403100776
167,100.0,0.075,0.05,1.5,0.9193257616729764
168,100.0,0.075,0.05,2.0,0.9728682170542635
169,100.0,0.075,0.05,3.0,0.9755509641873278
170,100.0,0.075,0.1,0.5,0.6262052341597797
171,100.0,0.075,0.1,1.0,0.7665289256198348
172,100.0,0.075,0.1,1.5,0.8615702479338843
173,100.0,0.075,0.1,2.0,0.8810261707988981
174,100.0,0.075,0.1,3.0,0.8791322314049587
175,100.0,0.1,0.01,0.5,0.8693888588426177
176,100.0,0.1,0.01,1.0,0.9568235082026321
177,100.0,0.1,0.01,1.5,0.9704344690823868
178,100.0,0.1,0.01,2.0,0.9843158464034614
179,100.0,0.1,0.01,3.0,0.9967550027041644
180,100.0,0.1,0.02,0.5,0.8540652605011718
181,100.0,0.1,0.02,1.0,0.9508743464936001
182,100.0,0.1,0.02,1.5,0.9711555795925725
183,100.0,0.1,0.02,2.0,0.987200288444204
184,100.0,0.1,0.02,3.0,0.9966648638903912
185,100.0,0.1,0.03,0.5,0.7915990625563367
186,100.0,0.1,0.03,1.0,0.9368126915449794
187,100.0,0.1,0.03,1.5,0.9689021092482423
188,100.0,0.1,0.03,2.0,0.9826032089417703
189,100.0,0.1,0.03,3.0,0.9946818099873805
190,100.0,0.1,0.05,0.5,0.7057869118442401
191,100.0,0.1,0.05,1.0,0.90932035334415
192,100.0,0.1,0.05,1.5,0.9523165675139715
193,100.0,0.1,0.05,2.0,0.9745808545159547
194,100.0,0.1,0.05,3.0,0.9879476584022038
195,100.0,0.1,0.1,0.5,0.6134641873278237
196,100.0,0.1,0.1,1.0,0.7586949035812672
197,100.0,0.1,0.1,1.5,0.9207128099173554
198,100.0,0.1,0.1,2.0,0.8981577134986226
199,100.0,0.1,0.1,3.0,0.9615185950413222
200,100.0,0.125,0.01,0.5,0.8858842617631153
201,100.0,0.125,0.01,1.0,0.9501532359834144
202,100.0,0.125,0.01,1.5,0.9766540472327384
203,100.0,0.125,0.01,2.0,0.9881016765819362
204,100.0,0.125,0.01,3.0,0.9965747250766179
205,100.0,0.125,0.02,0.5,0.8204434829637643
206,100.0,0.125,0.02,1.0,0.9509644853073733
207,100.0,0.125,0.02,1.5,0.9658373895799531
208,100.0,0.125,0.02,2.0,0.9807102938525329
209,100.0,0.125,0.02,3.0,0.9956733369388858
210,100.0,0.125,0.03,0.5,0.7727600504777358
211,100.0,0.125,0.03,1.0,0.9309536686497205
212,100.0,0.125,0.03,1.5,0.9750315485848206
213,100.0,0.125,0.03,2.0,0.9873805660717505
214,100.0,0.125,0.03,3.0,0.9954930593113395
215,100.0,0.125,0.05,0.5,0.7196682891653147
216,100.0,0.125,0.05,1.0,0.8773210744546602
217,100.0,0.125,0.05,1.5,0.9684514151793763
218,100.0,0.125,0.05,2.0,0.9812511267351721
219,100.0,0.125,0.05,3.0,0.9899276859504132
220,100.0,0.125,0.1,0.5,0.6138085399449036
221,100.0,0.125,0.1,1.0,0.8236914600550964
222,100.0,0.125,0.1,1.5,0.903064738292011
223,100.0,0.125,0.1,2.0,0.9438705234159779
224,100.0,0.125,0.1,3.0,0.9616046831955922
225,100.0,0.15,0.01,0.5,0.8882278709212187
226,100.0,0.15,0.01,1.0,0.9501532359834146
227,100.0,0.15,0.01,1.5,0.9740400216333153
228,100.0,0.15,0.01,2.0,0.9817018208040382
229,100.0,0.15,0.01,3.0,0.9882819542094826
230,100.0,0.15,0.02,0.5,0.8214350099152696
231,100.0,0.15,0.02,1.0,0.9325761672976383
232,100.0,0.15,0.02,1.5,0.9799891833423472
233,100.0,0.15,0.02,2.0,0.9808905714800793
234,100.0,0.15,0.02,3.0,0.9887326482783486
235,100.0,0.15,0.03,0.5,0.7772669911663963
236,100.0,0.15,0.03,1.0,0.9312240850910403
237,100.0,0.15,0.03,1.5,0.9744005768884081
238,100.0,0.15,0.03,2.0,0.9837750135208221
239,100.0,0.15,0.03,3.0,0.9890932035334414
240,100.0,0.15,0.05,0.5,0.762664503335136
241,100.0,0.15,0.05,1.0,0.8987741121326844
242,100.0,0.15,0.05,1.5,0.9351000540832883
243,100.0,0.15,0.05,2.0,0.9757526590950062
244,100.0,0.15,0.05,3.0,0.9848484848484849
245,100.0,0.15,0.1,0.5,0.6767389807162534
246,100.0,0.15,0.1,1.0,0.7958849862258953
247,100.0,0.15,0.1,1.5,0.8974690082644626
248,100.0,0.15,0.1,2.0,0.9224345730027549
249,100.0,0.15,0.1,3.0,0.9288911845730027
250,200.0,0.05,0.01,0.5,0.8303202479338844
251,200.0,0.05,0.01,1.0,0.9111570247933883
252,200.0,0.05,0.01,1.5,0.9412878787878789
253,200.0,0.05,0.01,2.0,0.959710743801653
254,200.0,0.05,0.01,3.0,0.9791666666666666
255,200.0,0.05,0.02,0.5,0.7586949035812672
256,200.0,0.05,0.02,1.0,0.9195936639118458
257,200.0,0.05,0.02,1.5,0.9543732782369146
258,200.0,0.05,0.02,2.0,0.9693526170798898
259,200.0,0.05,0.02,3.0,0.9843319559228649
260,200.0,0.05,0.03,0.5,0.7295110192837466
261,200.0,0.05,0.03,1.0,0.893508953168044
262,200.0,0.05,0.03,1.5,0.9172692837465565
263,200.0,0.05,0.03,2.0,0.9554924242424243
264,200.0,0.05,0.03,3.0,0.9695247933884299
265,200.0,0.05,0.05,0.5,0.650137741046832
266,200.0,0.05,0.05,1.0,0.8436639118457301
267,200.0,0.05,0.05,1.5,0.884039256198347
268,200.0,0.05,0.05,2.0,0.9370695592286501
269,200.0,0.05,0.05,3.0,0.9591942148760331
270,200.0,0.05,0.1,0.5,0.5742079889807162
271,200.0,0.05,0.1,1.0,0.6898243801652894
272,200.0,0.05,0.1,1.5,0.815685261707989
273,200.0,0.05,0.1,2.0,0.8563188705234159
274,200.0,0.05,0.1,3.0,0.8793904958677686
275,200.0,0.075,0.01,0.5,0.8199035812672176
276,200.0,0.075,0.01,1.0,0.9108987603305786
277,200.0,0.075,0.01,1.5,0.9445592286501379
278,200.0,0.075,0.01,2.0,0.9677169421487604
279,200.0,0.075,0.01,3.0,0.9832988980716254
280,200.0,0.075,0.02,0.5,0.7763429752066116
281,200.0,0.075,0.02,1.0,0.8917871900826446
282,200.0,0.075,0.02,1.5,0.9436122589531681
283,200.0,0.075,0.02,2.0,0.9682334710743802
284,200.0,0.075,0.02,3.0,0.9746039944903582
285,200.0,0.075,0.03,0.5,0.7197830578512397
286,200.0,0.075,0.03,1.0,0.87491391184573
287,200.0,0.075,0.03,1.5,0.9425792011019284
288,200.0,0.075,0.03,2.0,0.946883608815427
289,200.0,0.075,0.03,3.0,0.9766701101928376
290,200.0,0.075,0.05,0.5,0.7029097796143251
291,200.0,0.075,0.05,1.0,0.8051825068870525
292,200.0,0.075,0.05,1.5,0.909521349862259
293,200.0,0.075,0.05,2.0,0.9013429752066117
294,200.0,0.075,0.05,3.0,0.9071969696969697
295,200.0,0.075,0.1,0.5,0.5940082644628099
296,200.0,0.075,0.1,1.0,0.7537017906336089
297,200.0,0.075,0.1,1.5,0.8451274104683195
298,200.0,0.075,0.1,2.0,0.865530303030303
299,200.0,0.075,0.1,3.0,0.8633780991735538
300,200.0,0.1,0.01,0.5,0.8527892561983471
301,200.0,0.1,0.01,1.0,0.9356921487603307
302,200.0,0.1,0.01,1.5,0.965823002754821
303,200.0,0.1,0.01,2.0,0.9701274104683195
304,200.0,0.1,0.01,3.0,0.987345041322314
305,200.0,0.1,0.02,0.5,0.7911501377410469
306,200.0,0.1,0.02,1.0,0.9280303030303032
307,200.0,0.1,0.02,1.5,0.9602272727272728
308,200.0,0.1,0.02,2.0,0.9820075757575757
309,200.0,0.1,0.02,3.0,0.9857093663911846
310,200.0,0.1,0.03,0.5,0.7652376033057852
311,200.0,0.1,0.03,1.0,0.9069387052341599
312,200.0,0.1,0.03,1.5,0.9478305785123966
313,200.0,0.1,0.03,2.0,0.9659090909090909
314,200.0,0.1,0.03,3.0,0.9828684573002755
315,200.0,0.1,0.05,0.5,0.6785468319559228
316,200.0,0.1,0.05,1.0,0.865874655647383
317,200.0,0.1,0.05,1.5,0.9388774104683196
318,200.0,0.1,0.05,2.0,0.953340220385675
319,200.0,0.1,0.05,3.0,0.9642734159779613
320,200.0,0.1,0.1,0.5,0.6450585399449036
321,200.0,0.1,0.1,1.0,0.7877926997245179
322,200.0,0.1,0.1,1.5,0.8545110192837465
323,200.0,0.1,0.1,2.0,0.8933367768595042
324,200.0,0.1,0.1,3.0,0.947055785123967
325,200.0,0.125,0.01,0.5,0.8637224517906337
326,200.0,0.125,0.01,1.0,0.9375860881542699
327,200.0,0.125,0.01,1.5,0.9601411845730028
328,200.0,0.125,0.01,2.0,0.9859676308539944
329,200.0,0.125,0.01,3.0,0.9896694214876033
330,200.0,0.125,0.02,0.5,0.8248106060606062
331,200.0,0.125,0.02,1.0,0.9368112947658402
332,200.0,0.125,0.02,1.5,0.962551652892562
333,200.0,0.125,0.02,2.0,0.9780475206611571
334,200.0,0.125,0.02,3.0,0.9867424242424242
335,200.0,0.125,0.03,0.5,0.7722107438016528
336,200.0,0.125,0.03,1.0,0.9217458677685949
337,200.0,0.125,0.03,1.5,0.9694387052341598
338,200.0,0.125,0.03,2.0,0.975206611570248
339,200.0,0.125,0.03,3.0,0.9840736914600551
340,200.0,0.125,0.05,0.5,0.740702479338843
341,200.0,0.125,0.05,1.0,0.8671659779614325
342,200.0,0.125,0.05,1.5,0.9224345730027548
343,200.0,0.125,0.05,2.0,0.9675447658402204
344,200.0,0.125,0.05,3.0,0.9801997245179063
345,200.0,0.125,0.1,0.5,0.6353305785123966
346,200.0,0.125,0.1,1.0,0.7621384297520661
347,200.0,0.125,0.1,1.5,0.8760330578512396
348,200.0,0.125,0.1,2.0,0.9288050964187328
349,200.0,0.125,0.1,3.0,0.9346590909090909
350,200.0,0.15,0.01,0.5,0.8768078512396695
351,200.0,0.15,0.01,1.0,0.9451618457300276
352,200.0,0.15,0.01,1.5,0.972365702479339
353,200.0,0.15,0.01,2.0,0.9845902203856749
354,200.0,0.15,0.01,3.0,0.9911329201101928
355,200.0,0.15,0.02,0.5,0.818698347107438
356,200.0,0.15,0.02,1.0,0.9386191460055097
357,200.0,0.15,0.02,1.5,0.9666838842975207
358,200.0,0.15,0.02,2.0,0.9820936639118457
359,200.0,0.15,0.02,3.0,0.990358126721763
360,200.0,0.15,0.03,0.5,0.7904614325068872
361,200.0,0.15,0.03,1.0,0.947141873278237
362,200.0,0.15,0.03,1.5,0.9745179063360883
363,200.0,0.15,0.03,2.0,0.9798553719008265
364,200.0,0.15,0.03,3.0,0.9901859504132231
365,200.0,0.15,0.05,0.5,0.7413050964187328
366,200.0,0.15,0.05,1.0,0.9013429752066116
367,200.0,0.15,0.05,1.5,0.9554924242424242
368,200.0,0.15,0.05,2.0,0.9758953168044078
369,200.0,0.15,0.05,3.0,0.9838154269972451
370,200.0,0.15,0.1,0.5,0.6605544077134987
371,200.0,0.15,0.1,1.0,0.847021349862259
372,200.0,0.15,0.1,1.5,0.8989325068870524
373,200.0,0.15,0.1,2.0,0.9258780991735538
374,200.0,0.15,0.1,3.0,0.940771349862259
